1,1_C-1,4
2,1_C-1,5
3,1_C-1-Q,21
4,1_C-1-Q,4
5,1_C-1-Q,5
6,1_C-2,19
7,1_C-2,2
8,1_C-2,21
9,1_C-2,4
10,1_C-2,5
11,1_C-2,7
12,1_C-2-Q,16
13,1_C-2-Q,2
14,1_C-2-Q,21
15,1_C-2-Q,4
16,1_C-2-Q,5
17,1_C-L,13
18,1_C-L,16
19,1_C-L,21
20,1_C-L,4
21,1_C-L,5
22,1_C-M,14
23,1_C-M,16
24,1_C-M,2
25,1_C-M,4
26,1_C-M,5
27,1_C-M,7
28,1_C-T,19
29,1_C-T,21
30,1_C-T,4
31,1_C-T,5
32,1_C-T,7
33,1_C-T-Q,13
34,1_C-T-Q,14
35,1_C-T-Q,5
36,1_C-T-Q,7
37,1_C-T-Q,8
38,1_C-T-Q/C-2-Q,5
39,1_C-T-Q/C-2-Q,7
40,1_C-T-Q/RD-M-Q,19
41,1_C-T-Q/RD-M-Q,2
42,1_C-T-Q/RD-M-Q,21
43,1_C-T-Q/RD-M-Q,4
44,1_C-T-Q/RD-M-Q,5
45,1_C-T-Q/RD-M-Q,7
3957,1_RD-M,1
3958,1_RD-M,7
48,1_L-C,1
49,1_L-C,12
50,1_L-C,19
51,1_L-C,8
52,1_L-C,9
53,1_M,1
54,1_M,2
55,1_M,21
56,1_M,4
57,1_M,6
58,1_M-Q,2
59,1_M-Q,4
60,1_O,2
61,1_O,4
62,1_O-Q/P-M-Q,4
63,1_P-C,1
64,1_P-C,12
65,1_P-C,13
66,1_P-C,14
67,1_P-C,15
68,1_P-C,16
69,1_P-C,19
70,1_P-C,2
71,1_P-C,20
72,1_P-C,21
73,1_P-C,4
74,1_P-C,5
75,1_P-C,6
76,1_P-C,7
77,1_P-C,8
78,1_P-C,9
79,1_P-M,15
80,1_P-M,16
81,1_P-M,2
82,1_P-M,4
83,1_P-M,5
84,1_P-M,6
85,1_P-M,7
86,1_P-M-Q,2
87,1_P-M-Q,4
88,1_P-M/O,2
89,1_P-U,1
90,1_P-U,2
91,1_P-U,5
92,1_R-1,1
3949,1_R-2,1
3950,1_R-P,1
3951,1_R-P-Q,5
96,1_R-1,19
3952,1_R-P-Q,21
98,1_R-1,20
3953,1_R-A-10000-Q,1
3954,1_R-A-2.5,1
3955,1_E-A,1
3956,1_E-A-Q,1
103,1_R-1-0.5Q,19
104,1_R-1-10000,1
3959,3_RPCD,19
3960,3_RPCD,20
107,1_R-1-10000,19
108,1_R-1-10000,20
3961,3_R-5,20
110,1_R-1-10000-Q,1
111,1_R-1-10000-Q,19
112,1_R-1-10000-Q,20
3962,3_R-5,19
114,1_R-1-15000,19
3980,4_RM-East,20
116,1_R-1-15000,20
3981,4_RM-East,13
118,1_R-1-25000,19
119,1_R-1-25000,20
120,1_R-1-30000,19
121,1_R-1-30000,20
122,1_R-1-8000,1
3982,4_RM-West,20
124,1_R-1-8000,19
125,1_R-1-8000,20
126,1_R-1-9000,19
127,1_R-1-9500,1
128,1_R-1-9500,19
3983,4_RM-West,13
130,1_R-1-9500,20
131,1_R-1-Q,1
3984,4_RM-Central,20
133,1_R-1-Q,19
134,1_R-1-Q,20
135,1_R-2,19
136,1_R-2,20
137,1_R-2,21
3985,4_RM-Central,13
3986,4_RM-South,20
3987,4_RC,5
141,1_R-3,19
142,1_R-3,20
